Ref,Player,Nation,Pos,Squad,Born,Age,Matches_played,Starts,Minutes,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
145,Cloé Lacasse,CAN,"FW,MF",Arsenal,1993,31,13,4,417,4.6,3,2,5,3,0,0,3,0,2.1,2.1,1.8,3.9,25,18,47,0.65,0.43,1.08,0.65,1.08,0.46,0.39,0.85,0.46,0.85
146,Hayley Ladd,WAL,MF,Manchester Utd,1993,31,9,7,558,6.2,2,0,2,2,0,0,1,0,0.8,0.8,0.3,1.2,3,22,4,0.32,0,0.32,0.32,0.32,0.14,0.05,0.19,0.14,0.19
147,Melissa Lawley,ENG,FW,Liverpool,1994,30,12,5,483,5.4,1,2,3,1,0,0,2,0,0.2,0.2,1,1.3,27,14,41,0.19,0.37,0.56,0.19,0.56,0.04,0.19,0.24,0.04,0.24
148,Ashley Lawrence,CAN,"DF,MF",Chelsea,1995,29,11,6,612,6.8,1,0,1,1,0,0,0,0,0.9,0.9,0.1,1,12,34,36,0.15,0,0.15,0.15,0.15,0.14,0.01,0.15,0.14,0.15
149,Rachael Laws,ENG,GK,Liverpool,1990,34,11,11,990,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,Naomi Layzell,ENG,DF,Bristol City,2004,20,13,13,1170,13,0,1,1,0,0,0,0,0,0.4,0.4,0.1,0.6,9,25,2,0,0.08,0.08,0,0.08,0.03,0.01,0.04,0.03,0.04
151,Maya Le Tissier,ENG,DF,Manchester Utd,2002,22,15,15,1350,15,1,1,2,1,0,0,1,0,0.3,0.3,0.5,0.8,4,56,1,0.07,0.07,0.13,0.07,0.13,0.02,0.03,0.05,0.02,0.05
152,Anna Leat,NZL,GK,Aston Villa,2001,23,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,Alisha Lehmann,SUI,FW,Aston Villa,1999,25,10,7,443,4.9,0,0,0,0,0,0,1,0,1.1,1.1,0.1,1.2,2,6,42,0,0,0,0,0,0.22,0.02,0.24,0.22,0.24
154,Janina Leitzig,GER,GK,Leicester City,1999,25,11,11,990,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,Adriana Leon,CAN,FW,Aston Villa,1992,32,12,10,787,8.7,4,1,5,4,0,0,5,0,2.3,2.3,2.6,4.9,31,12,82,0.46,0.11,0.57,0.46,0.57,0.26,0.3,0.56,0.26,0.56
156,Melanie Leupolz,GER,MF,Chelsea,1994,30,7,5,489,5.4,0,2,2,0,0,0,1,0,1.1,1.1,0.9,2,4,49,19,0,0.37,0.37,0,0.37,0.2,0.17,0.36,0.2,0.36
157,Zhang Linyan,CHN,"MF,FW",Tottenham,2001,23,3,1,57,0.6,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,2,1,3,0,0,0,0,0,0.24,0,0.24,0.24,0.24
158,Kim Little,SCO,"MF,FW",Arsenal,1990,34,10,8,702,7.8,1,0,1,0,1,2,0,0,1.8,0.2,0.9,1.2,13,50,27,0.13,0,0.13,0,0,0.23,0.12,0.35,0.03,0.15
159,Vicky Losada,ESP,MF,Brighton,1991,33,15,14,1133,12.6,1,1,2,0,1,1,3,0,1,0.2,1,1.2,3,53,18,0.08,0.08,0.16,0,0.08,0.08,0.08,0.16,0.02,0.1
160,Sofie Lundgaard,DEN,"MF,FW",Liverpool,2002,22,10,2,224,2.5,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,1,7,5,0,0,0,0,0,0.07,0.07,0.14,0.07,0.14
161,Frida Maanum,NOR,"MF,FW",Arsenal,1999,25,15,5,541,6,2,0,2,2,0,0,1,0,1.8,1.8,1.3,3,14,34,53,0.33,0,0.33,0.33,0.33,0.3,0.21,0.51,0.3,0.51
162,Catarina Macario,USA,FW,Chelsea,1999,25,1,0,19,0.2,1,0,1,1,0,0,0,0,0.2,0.2,0.1,0.3,0,0,3,4.74,0,4.74,4.74,4.74,0.89,0.63,1.52,0.89,1.52
163,Ruby Mace,ENG,"MF,DF",Manchester City,2003,21,4,0,58,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,2,4,0,0,0,0,0,0.09,0.21,0.3,0.09,0.3
164,Rikke Madsen,DEN,"FW,MF",Everton,1997,27,5,4,267,3,0,0,0,0,0,0,0,0,0.7,0.7,0.3,0.9,2,3,19,0,0,0,0,0,0.22,0.09,0.31,0.22,0.31
165,Simone Magill,NIR,"MF,FW",Aston Villa,1994,30,10,4,352,3.9,0,1,1,0,0,0,0,0,0.3,0.3,0.2,0.5,7,5,30,0,0.26,0.26,0,0.26,0.07,0.05,0.13,0.07,0.13
166,Melvine Malard,FRA,FW,Manchester Utd,2000,24,13,7,560,6.2,4,1,5,4,0,0,1,0,2.9,2.9,1,3.9,15,19,44,0.64,0.16,0.8,0.64,0.8,0.47,0.16,0.63,0.47,0.63
167,Kaylan Marckese,USA,GK,Bristol City,1998,26,4,4,314,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
